Episode_Index,Total_Cost,Fill_Rate,Lost_Sales,Avg_Inventory,Total_Holding_Cost,Total_Backlog_Cost,Total_Ordering_Cost
1,110531.9235,77.7456,368,138.8735,7668.4251,63378.2161,39485.2823
2,96975.6806,79.1723,333,138.2485,7730.4786,56965.5967,32279.6053
3,105350.4328,77.8049,361,135.7628,7637.1356,59637.6928,38075.6044
4,105415.5421,78.1342,364,135.5447,7592.9429,59322.4837,38500.1156
5,108901.6552,77.2227,375,138.9913,7746.4599,63954.0188,37201.1765
