episode,steps,total_episode_reward
265,388360,-4323.0107
266,389820,-4271.7036
267,391280,-4248.0396
268,392740,-4254.0151
269,394200,-4231.9224
270,395660,-4196.2734
271,397120,-4264.9106
272,398580,-4301.3062
273,400040,-4253.8750
274,401500,-4260.7207
275,402960,-4351.8701
276,404420,-4236.7388
277,405880,-4268.6797
278,407340,-4382.9761
279,408800,-4278.8555
280,410260,-4280.3076
281,411720,-4237.7612
282,413180,-4211.8945
283,414640,-4294.8545
284,416100,-4247.5527
285,417560,-4261.7944
286,419020,-4250.8643
287,420480,-4301.7192
288,421940,-4151.0620
289,423400,-4280.4907
290,424860,-4241.8882
291,426320,-4299.6582
292,427780,-4257.4468
293,429240,-4228.4326
294,430700,-4250.4922
295,432160,-4204.6587
296,433620,-4311.1416
297,435080,-4207.5586
298,436540,-4314.8208
299,438000,-4300.1855
300,439460,-4305.5771
301,440920,-4192.4995
302,442380,-4172.5962
303,443840,-4279.7568
304,445300,-4226.8931
305,446760,-4245.4897
306,448220,-4206.5059
307,449680,-4241.1562
308,451140,-4174.9922
309,452600,-4184.2524
310,454060,-4209.0469
311,455520,-4181.5664
312,456980,-4209.7529
313,458440,-4153.9712
314,459900,-4222.3984
315,461360,-4170.9995
316,462820,-4166.1011
317,464280,-4159.2612
318,465740,-4231.7544
319,467200,-4210.8931
320,468660,-4203.3320
321,470120,-4163.2002
322,471580,-4145.7720
323,473040,-4127.6611
324,474500,-4105.1187
325,475960,-4167.4229
326,477420,-4112.1431
327,478880,-4091.7480
328,480340,-4094.0410
329,481800,-4078.8303
330,483260,-4113.6543
331,484720,-4146.1792
332,486180,-4105.8843
333,487640,-4088.8967
334,489100,-4109.1582
335,490560,-4136.9858
336,492020,-4113.2920
337,493480,-4112.8833
338,494940,-4074.0276
339,496400,-4096.0161
340,497860,-4146.8726
341,499320,-4164.9180
342,500780,-4079.2771
343,502240,-4160.5977
344,503700,-4186.9570
345,505160,-4124.3506
346,506620,-4144.6265
347,508080,-4095.1064
348,509540,-4039.4673
349,511000,-4063.9299
350,512460,-4213.4673
351,513920,-4124.3423
352,515380,-4136.3779
353,516840,-4121.6484
354,518300,-4183.0493
355,519760,-4084.8816
356,521220,-4130.4268
357,522680,-4196.8569
358,524140,-4121.9561
359,525600,-4194.8999
360,527060,-4118.3877
361,528520,-4077.4736
362,529980,-4110.4160
363,531440,-4017.9431
364,532900,-4110.8340
365,534360,-4120.2412
366,535820,-4158.8242
367,537280,-4135.7754
368,538740,-4064.2271
369,540200,-4110.6958
370,541660,-4075.1548
371,543120,-4144.9360
372,544580,-4021.1560
373,546040,-4068.3604
374,547500,-4072.5032
375,548960,-4114.6025
376,550420,-4033.7539
377,551880,-4155.9009
378,553340,-4128.7354
379,554800,-4048.8057
380,556260,-4028.5574
381,557720,-4052.2542
382,559180,-4080.9775
383,560640,-4059.1223
