Episode_Index,Total_Cost,Fill_Rate,Lost_Sales,Avg_Inventory,Total_Holding_Cost,Total_Backlog_Cost,Total_Ordering_Cost
1,225722.8909,93.6159,192,147.2561,19408.8049,19610.3111,186703.7749
2,198242.4764,93.6194,186,143.1128,19109.2625,17559.7083,161573.5056
3,201970.7093,94.4221,161,149.5226,19871.3688,11707.4344,170391.906
4,200545.8076,93.2246,210,145.2661,19323.5666,17723.464,163498.777
5,234051.0454,91.7529,252,150.7352,20244.5419,27281.5034,186525.0001
