Episode_Index,Total_Cost,Fill_Rate,Lost_Sales,Avg_Inventory,Total_Holding_Cost,Total_Backlog_Cost,Total_Ordering_Cost
1,229789.9753,77.5693,786,116.5994,14595.0335,140652.8437,74542.0981
2,196070.6267,78.4025,752,120.0553,15083.5655,118580.1797,62406.8816
3,198388.6974,79.2418,715,119.3672,14980.3595,126007.0036,57401.3343
4,205528.0873,78.2331,762,118.4062,14909.9819,125605.8517,65012.2537
5,219700.0787,77.1135,797,116.3656,14644.4357,129108.6675,75946.9756
