Episode_Index,Total_Cost,Fill_Rate,Lost_Sales,Avg_Inventory,Total_Holding_Cost,Total_Backlog_Cost,Total_Ordering_Cost
1,121866.5552,96.3619,21,174.1918,10590.9909,4657.7409,106617.8234
2,122048.4074,95.8638,33,175.2642,11037.7184,6989.3718,104021.3172
3,117461.704,94.7536,56,173.8349,10683.0161,5313.9784,101464.7095
4,105311.0254,96.5115,24,162.5245,9967.5273,2999.5924,92343.9057
5,118018.3632,97.9182,5,185.6364,11186.4776,1692.4367,105139.4489
