Episode_Index,Total_Cost,Fill_Rate,Lost_Sales,Avg_Inventory,Total_Holding_Cost,Total_Backlog_Cost,Total_Ordering_Cost
1,258209.5846,77.7674,782,132.7813,15865.5331,144206.7906,98137.2609
2,226871.0525,78.5906,740,133.1122,16068.1267,118024.8493,92778.0765
3,228795.0072,77.4618,771,131.7774,15945.7586,118977.9216,93871.327
4,257048.6633,76.4415,839,132.45,15927.4634,142643.0362,98478.1638
5,249941.4871,77.2683,794,134.9296,16227.0324,135820.2115,97894.2432
