episode,steps,total_episode_reward
0,1460,-8950.2090
1,2920,-8814.4775
2,4380,-8734.3086
3,5840,-8762.4180
4,7300,-8632.9023
5,8760,-8491.0479
6,10220,-8445.0986
7,11680,-8343.9961
8,13140,-8230.0322
9,14600,-8181.8994
10,16060,-8098.7241
11,17520,-8114.1587
