episode,steps,total_episode_reward
265,388360,-6074.0513
266,389820,-6018.5474
267,391280,-6146.4043
268,392740,-6015.6797
269,394200,-6076.3184
270,395660,-6056.5146
271,397120,-5958.0493
272,398580,-5952.5332
273,400040,-6044.8818
274,401500,-5954.8848
275,402960,-6014.8027
276,404420,-5982.3872
277,405880,-5903.1680
278,407340,-5919.6025
279,408800,-5935.1143
280,410260,-5957.0400
281,411720,-6078.0220
282,413180,-5895.4858
283,414640,-5939.1753
284,416100,-5935.7886
285,417560,-6039.3145
286,419020,-5981.6973
287,420480,-5903.1973
288,421940,-6031.2573
289,423400,-6048.4966
290,424860,-5997.1211
291,426320,-6081.0249
292,427780,-6029.1934
293,429240,-5975.8667
294,430700,-6028.9663
295,432160,-5890.8486
296,433620,-5925.4341
297,435080,-5890.2939
298,436540,-6037.5586
299,438000,-5965.7324
300,439460,-5901.2622
301,440920,-5911.0029
302,442380,-5935.8208
303,443840,-5910.8916
304,445300,-5976.5874
305,446760,-5980.2285
306,448220,-5937.9990
307,449680,-6036.0996
308,451140,-5867.3760
309,452600,-5795.3379
310,454060,-5804.1147
311,455520,-5848.9917
312,456980,-5972.8550
313,458440,-5735.5205
314,459900,-5815.2969
315,461360,-5872.6895
316,462820,-5883.9844
317,464280,-5891.1489
318,465740,-5884.7124
319,467200,-5872.7896
320,468660,-5771.5151
321,470120,-5772.8521
322,471580,-5679.6187
323,473040,-5688.5381
324,474500,-5747.7319
325,475960,-5755.4868
326,477420,-5737.0312
327,478880,-5897.8442
328,480340,-5771.3984
329,481800,-5808.7739
330,483260,-5858.9736
331,484720,-5706.7153
332,486180,-5794.3091
333,487640,-5892.4282
334,489100,-5757.7056
335,490560,-5765.3301
336,492020,-5749.5078
337,493480,-5738.2578
338,494940,-5768.9365
339,496400,-5671.3940
340,497860,-5737.1382
341,499320,-5644.3706
342,500780,-5596.6709
343,502240,-5697.9312
344,503700,-5683.0894
345,505160,-5669.3979
346,506620,-5670.5718
347,508080,-5664.4155
348,509540,-5626.7427
349,511000,-5647.0210
350,512460,-5695.0410
351,513920,-5570.8149
352,515380,-5623.8120
353,516840,-5567.4302
354,518300,-5718.0024
355,519760,-5605.7617
356,521220,-5678.4092
357,522680,-5592.5259
358,524140,-5538.3784
359,525600,-5561.8188
360,527060,-5658.9609
361,528520,-5467.8394
362,529980,-5589.7749
363,531440,-5626.6021
364,532900,-5478.4600
365,534360,-5414.3696
366,535820,-5534.8726
367,537280,-5413.2979
368,538740,-5471.4697
369,540200,-5543.1147
370,541660,-5542.9155
371,543120,-5622.6323
372,544580,-5592.2998
373,546040,-5340.7144
374,547500,-5535.5957
375,548960,-5536.1177
376,550420,-5476.4639
377,551880,-5513.8540
378,553340,-5578.9604
379,554800,-5559.1289
380,556260,-5401.8398
381,557720,-5416.4448
382,559180,-5492.6680
383,560640,-5318.9087
