Episode_Index,Total_Cost,Fill_Rate,Lost_Sales,Avg_Inventory,Total_Holding_Cost,Total_Backlog_Cost,Total_Ordering_Cost
1,374573.0088,78.9234,490,235.2359,29324.0208,77669.1298,267579.8582
2,351724.9921,80.3947,439,242.3354,30119.2589,75236.3266,246369.4066
3,368748.8303,79.5949,456,239.0312,29785.7551,81167.5688,257795.5063
4,373302.8933,78.0687,489,243.7779,30102.0927,84354.6539,258846.1466
5,370666.4808,79.4789,468,237.0723,29733.4504,76607.5922,264325.4382
