Episode_Index,Total_Cost,Fill_Rate,Lost_Sales,Avg_Inventory,Total_Holding_Cost,Total_Backlog_Cost,Total_Ordering_Cost
1,102849.165,100.0,0,866.0082,87084.1562,0.0,15765.0088
2,101705.0596,100.0,0,869.0506,87361.2734,0.0,14343.7861
3,96861.7666,100.0,0,868.2117,87197.8203,0.0,9663.9463
4,98225.3252,100.0,0,869.8886,87532.9219,0.0,10692.4033
5,107480.959,100.0,0,866.6545,87273.7656,0.0,20207.1934
