episode,steps,total_episode_reward
0,1460,-8950.2090
1,2920,-8804.1748
2,4380,-8716.7012
3,5840,-8712.2490
4,7300,-8586.9893
5,8760,-8413.7754
6,10220,-8259.7920
7,11680,-8176.3984
8,13140,-8065.0684
9,14600,-8019.9004
10,16060,-7839.2524
11,17520,-7738.6440
