Episode_Index,Total_Cost,Fill_Rate,Lost_Sales,Avg_Inventory,Total_Holding_Cost,Total_Backlog_Cost,Total_Ordering_Cost
1,179932.1977,90.2622,255,116.442,11985.2351,27103.5456,140843.417
2,140115.0133,92.6118,189,118.9866,12294.4903,17085.8065,110734.7165
3,162053.962,90.6413,215,124.9363,13085.0812,26357.6318,122611.249
4,176973.1453,90.2942,222,121.0894,12681.6351,30766.7916,133524.7186
5,193248.624,89.8002,232,123.2304,12972.8139,33781.4592,146494.3509
