Variation,Base Stock,HAPPO,MAPPO,GNN-HAPPO
-1,244165.14572888636,261909.1307690926,283988.62138584536,254029.18623996526
0,314605.0676698239,261665.47147897165,283726.1654229192,254368.37616774946
1,305441.63302655326,261411.98369813338,283515.966569758,255170.3138470925
2,301350.12724043184,259786.142317418,283384.05319438,256623.48087654787
3,324295.5357172589,259534.90930863796,283297.4515123386,258378.01803765201
