Episode_Index,Total_Cost,Fill_Rate,Lost_Sales,Avg_Inventory,Total_Holding_Cost,Total_Backlog_Cost,Total_Ordering_Cost
1,605454.5876,88.8329,662,101.3015,31026.0548,137282.1617,437146.3711
2,621754.3159,88.3032,710,100.5524,30619.9226,139826.0592,451308.3341
3,719477.4535,87.06,762,98.4474,29977.2784,172368.9243,517131.2509
4,731779.3631,87.4777,743,100.3913,30568.9019,158905.5147,542304.9464
5,705978.0425,86.8806,771,96.1895,29148.8132,163723.7242,513105.5051
